,0
0,0
1,1
2,1
3,0
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,1
207,1
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,1
545,1
546,1
547,0
548,1
549,0
550,0
551,1
552,0
553,1
554,0
555,1
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,1
567,0
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,1
603,1
604,0
605,1
606,1
607,0
608,1
609,0
610,0
611,0
612,0
613,1
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,1
632,0
633,1
634,0
635,1
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,1
650,0
651,1
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,0
665,1
666,1
667,0
668,0
669,0
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,1
682,1
683,0
684,1
685,1
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,1
726,1
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,0
739,1
740,0
741,1
742,0
743,1
744,1
745,0
746,0
747,0
748,1
749,0
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,0
771,1
772,1
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,1
829,0
830,1
831,1
832,0
833,0
834,1
835,0
836,1
837,1
838,1
839,0
840,1
841,0
842,0
843,0
844,0
845,1
846,1
847,0
848,0
849,0
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,0
870,0
871,1
872,0
873,0
874,1
875,0
876,0
877,0
878,1
879,1
880,0
881,1
882,1
883,1
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,1
930,1
931,1
932,0
933,0
934,0
935,0
936,1
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,1
948,0
949,1
950,1
951,0
952,0
953,1
954,0
955,1
956,0
957,1
958,0
959,0
960,0
961,1
962,1
963,0
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,1
987,1
988,1
989,0
990,1
991,1
992,0
993,0
994,1
995,0
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,0
1005,1
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,1
1036,1
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
