,0
0,75.0
1,103.0
2,81.0
3,91.0
4,74.0
5,73.0
6,70.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,122.0
18,333.0
19,338.0
20,336.0
21,277.0
22,132.0
23,108.0
0,75.0
1,69.0
2,77.0
3,76.0
4,80.0
5,91.0
6,65.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,107.0
18,337.0
19,338.0
20,335.0
21,283.0
22,155.0
23,98.0
0,85.0
1,79.0
2,88.0
3,85.0
4,79.0
5,83.0
6,80.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,118.0
18,335.0
19,336.0
20,334.0
21,285.0
22,145.0
23,108.0
0,80.0
1,84.0
2,90.0
3,67.0
4,91.0
5,78.0
6,74.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,105.0
18,337.0
19,337.0
20,335.0
21,277.0
22,130.0
23,95.0
0,82.0
1,78.0
2,83.0
3,73.0
4,87.0
5,92.0
6,71.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,99.0
18,338.0
19,336.0
20,334.0
21,275.0
22,139.0
23,106.0
0,78.0
1,83.0
2,64.0
3,66.0
4,73.0
5,91.0
6,60.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,86.0
18,338.0
19,335.0
20,331.0
21,288.0
22,150.0
23,108.0
0,72.0
1,89.0
2,84.0
3,84.0
4,78.0
5,78.0
6,74.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,97.0
18,338.0
19,337.0
20,333.0
21,281.0
22,149.0
23,109.0
0,72.0
1,97.0
2,75.0
3,82.0
4,89.0
5,74.0
6,82.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,88.0
18,337.0
19,337.0
20,333.0
21,285.0
22,140.0
23,100.0
0,85.0
1,68.0
2,92.0
3,87.0
4,77.0
5,96.0
6,74.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,81.0
18,337.0
19,335.0
20,334.0
21,285.0
22,152.0
23,99.0
0,91.0
1,78.0
2,78.0
3,81.0
4,86.0
5,71.0
6,63.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,76.0
18,334.0
19,336.0
20,339.0
21,283.0
22,152.0
23,100.0
0,76.0
1,91.0
2,85.0
3,77.0
4,87.0
5,82.0
6,76.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,61.0
18,337.0
19,334.0
20,339.0
21,279.0
22,140.0
23,100.0
0,78.0
1,82.0
2,71.0
3,75.0
4,66.0
5,88.0
6,70.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,77.0
18,334.0
19,337.0
20,337.0
21,279.0
22,133.0
23,87.0
0,86.0
1,81.0
2,91.0
3,83.0
4,100.0
5,77.0
6,69.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,65.0
18,339.0
19,336.0
20,336.0
21,276.0
22,144.0
23,113.0
0,77.0
1,86.0
2,83.0
3,85.0
4,78.0
5,80.0
6,73.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,68.0
18,336.0
19,337.0
20,336.0
21,287.0
22,151.0
23,102.0
0,65.0
1,83.0
2,71.0
3,79.0
4,77.0
5,77.0
6,73.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,46.0
18,336.0
19,339.0
20,332.0
21,276.0
22,141.0
23,109.0
0,94.0
1,88.0
2,90.0
3,97.0
4,67.0
5,89.0
6,71.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,51.0
18,332.0
19,336.0
20,337.0
21,288.0
22,143.0
23,114.0
0,98.0
1,80.0
2,86.0
3,87.0
4,87.0
5,69.0
6,63.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,44.0
18,331.0
19,335.0
20,338.0
21,270.0
22,150.0
23,96.0
0,87.0
1,90.0
2,83.0
3,68.0
4,97.0
5,79.0
6,72.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,56.0
18,327.0
19,336.0
20,335.0
21,274.0
22,136.0
23,106.0
0,76.0
1,85.0
2,82.0
3,70.0
4,74.0
5,83.0
6,74.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,63.0
18,325.0
19,335.0
20,335.0
21,278.0
22,136.0
23,100.0
0,77.0
1,81.0
2,81.0
3,91.0
4,83.0
5,81.0
6,78.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,51.0
18,326.0
19,335.0
20,332.0
21,293.0
22,147.0
23,99.0
0,68.0
1,83.0
2,86.0
3,79.0
4,80.0
5,77.0
6,72.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,33.0
18,323.0
19,333.0
20,333.0
21,288.0
22,142.0
23,97.0
0,74.0
1,91.0
2,93.0
3,82.0
4,76.0
5,65.0
6,69.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,32.0
18,314.0
19,337.0
20,335.0
21,285.0
22,136.0
23,96.0
0,86.0
1,79.0
2,71.0
3,92.0
4,74.0
5,86.0
6,70.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,40.0
18,316.0
19,333.0
20,333.0
21,271.0
22,152.0
23,102.0
0,76.0
1,87.0
2,81.0
3,104.0
4,87.0
5,85.0
6,70.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,40.0
18,318.0
19,333.0
20,338.0
21,278.0
22,140.0
23,115.0
0,79.0
1,81.0
2,85.0
3,86.0
4,93.0
5,92.0
6,64.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,36.0
18,303.0
19,336.0
20,335.0
21,288.0
22,154.0
23,90.0
0,85.0
1,79.0
2,82.0
3,80.0
4,75.0
5,88.0
6,58.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,41.0
18,313.0
19,339.0
20,336.0
21,286.0
22,141.0
23,94.0
0,79.0
1,81.0
2,72.0
3,87.0
4,83.0
5,84.0
6,64.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,33.0
18,297.0
19,333.0
20,337.0
21,283.0
22,146.0
23,94.0
0,78.0
1,80.0
2,85.0
3,84.0
4,88.0
5,80.0
6,66.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,30.0
18,297.0
19,337.0
20,337.0
21,278.0
22,144.0
23,120.0
0,83.0
1,77.0
2,87.0
3,90.0
4,77.0
5,100.0
6,57.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,41.0
18,304.0
19,337.0
20,338.0
21,281.0
22,129.0
23,109.0
0,69.0
1,83.0
2,78.0
3,80.0
4,96.0
5,87.0
6,70.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,30.0
18,294.0
19,331.0
20,339.0
21,288.0
22,148.0
23,109.0
0,82.0
1,80.0
2,79.0
3,82.0
4,80.0
5,81.0
6,59.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,34.0
18,299.0
19,336.0
20,337.0
21,281.0
22,165.0
23,96.0
0,76.0
1,94.0
2,86.0
3,87.0
4,81.0
5,87.0
6,67.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,40.0
18,305.0
19,334.0
20,337.0
21,276.0
22,165.0
23,119.0
0,76.0
1,68.0
2,81.0
3,82.0
4,80.0
5,80.0
6,69.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,21.0
18,294.0
19,336.0
20,334.0
21,275.0
22,148.0
23,90.0
0,98.0
1,91.0
2,79.0
3,71.0
4,76.0
5,82.0
6,59.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,34.0
18,296.0
19,335.0
