,0
0,5.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,5.0
7,15.0
8,15.0
9,75.0
10,60.0
11,65.0
12,50.0
13,65.0
14,80.0
15,55.0
16,45.0
17,50.0
18,60.0
19,50.0
20,45.0
21,40.0
22,40.0
23,15.0
0,5.0
1,0.0
2,0.0
3,0.0
4,0.0
5,5.0
6,0.0
7,25.0
8,60.0
9,30.0
10,60.0
11,50.0
12,80.0
13,50.0
14,105.0
15,75.0
16,85.0
17,60.0
18,70.0
19,70.0
20,55.0
21,35.0
22,50.0
23,5.0
0,10.0
1,5.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,15.0
8,20.0
9,90.0
10,45.0
11,40.0
12,70.0
13,70.0
14,40.0
15,75.0
16,55.0
17,65.0
18,35.0
19,65.0
20,50.0
21,60.0
22,30.0
23,55.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,5.0
7,20.0
8,35.0
9,60.0
10,30.0
11,60.0
12,40.0
13,70.0
14,100.0
15,65.0
16,50.0
17,40.0
18,45.0
19,70.0
20,60.0
21,55.0
22,45.0
23,35.0
0,15.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,5.0
7,15.0
8,20.0
9,55.0
10,55.0
11,45.0
12,40.0
13,40.0
14,45.0
15,60.0
16,100.0
17,100.0
18,30.0
19,75.0
20,80.0
21,50.0
22,30.0
23,30.0
0,5.0
1,0.0
2,0.0
3,0.0
4,0.0
5,5.0
6,10.0
7,0.0
8,75.0
9,90.0
10,80.0
11,50.0
12,50.0
13,90.0
14,80.0
15,15.0
16,30.0
17,35.0
18,85.0
19,50.0
20,70.0
21,55.0
22,30.0
23,30.0
0,5.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,5.0
8,40.0
9,60.0
10,65.0
11,130.0
12,70.0
13,65.0
14,55.0
15,70.0
16,60.0
17,70.0
18,70.0
19,45.0
20,85.0
21,45.0
22,45.0
23,25.0
0,5.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,5.0
7,0.0
8,30.0
9,50.0
10,45.0
11,60.0
12,45.0
13,85.0
14,45.0
15,75.0
16,80.0
17,55.0
18,70.0
19,40.0
20,50.0
