,0
0,200.0
1,200.0
2,200.0
3,200.0
4,200.0
5,200.0
6,200.0
7,200.0
8,200.0
9,200.0
10,200.0
11,200.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,200.0
18,200.0
19,200.0
20,200.0
21,200.0
22,200.0
23,200.0
24,200.0
25,200.0
26,200.0
27,200.0
28,200.0
29,200.0
30,200.0
31,200.0
32,200.0
33,200.0
34,200.0
35,200.0
36,200.0
37,200.0
38,200.0
39,200.0
40,200.0
41,200.0
42,200.0
43,200.0
44,200.0
45,201.0
46,201.0
47,201.0
48,201.0
49,201.0
50,201.0
51,201.0
52,201.0
53,201.0
54,201.0
55,201.0
56,201.0
57,201.0
58,201.0
59,201.0
60,201.0
61,201.0
62,201.0
63,201.0
64,201.0
65,201.0
66,201.0
67,201.0
68,201.0
69,201.0
70,201.0
71,201.0
72,201.0
73,201.0
74,201.0
75,201.0
76,201.0
77,201.0
78,201.0
79,201.0
80,201.0
81,201.0
82,201.0
83,201.0
84,201.0
85,201.0
86,201.0
87,202.0
88,202.0
89,202.0
90,202.0
91,202.0
92,202.0
93,202.0
94,202.0
95,202.0
96,202.0
97,202.0
98,202.0
99,202.0
100,202.0
101,202.0
102,202.0
103,202.0
104,202.0
105,202.0
106,202.0
107,202.0
108,202.0
109,202.0
110,202.0
111,202.0
112,202.0
113,202.0
114,202.0
115,202.0
116,202.0
117,202.0
118,202.0
119,202.0
120,202.0
121,202.0
122,202.0
123,202.0
124,202.0
125,202.0
126,202.0
127,203.0
128,203.0
129,203.0
130,203.0
131,203.0
132,203.0
133,203.0
134,203.0
135,203.0
136,203.0
137,203.0
138,203.0
139,203.0
140,203.0
141,203.0
142,203.0
143,203.0
144,203.0
145,203.0
146,203.0
147,203.0
148,203.0
149,203.0
150,203.0
151,203.0
152,203.0
153,203.0
154,203.0
155,203.0
156,203.0
157,203.0
158,203.0
159,203.0
160,203.0
161,203.0
162,203.0
163,203.0
164,203.0
165,204.0
166,204.0
167,204.0
168,204.0
169,204.0
170,204.0
171,204.0
172,204.0
173,204.0
174,204.0
175,204.0
176,204.0
177,204.0
178,204.0
179,204.0
180,204.0
181,204.0
182,204.0
183,204.0
184,204.0
185,204.0
186,204.0
187,204.0
188,204.0
189,204.0
190,204.0
191,204.0
192,204.0
193,204.0
194,204.0
195,204.0
196,204.0
197,204.0
198,204.0
199,204.0
200,204.0
201,205.0
202,205.0
203,205.0
204,205.0
205,205.0
206,205.0
207,205.0
208,205.0
209,205.0
210,205.0
211,205.0
212,205.0
213,205.0
214,205.0
215,205.0
216,205.0
217,205.0
218,205.0
219,205.0
220,205.0
221,205.0
222,205.0
223,205.0
224,205.0
225,205.0
226,205.0
227,205.0
228,205.0
229,205.0
230,205.0
231,205.0
232,205.0
233,205.0
234,205.0
235,205.0
236,206.0
237,206.0
238,206.0
239,206.0
240,206.0
241,206.0
242,206.0
243,206.0
244,206.0
245,206.0
246,206.0
247,206.0
248,206.0
249,206.0
250,206.0
251,206.0
252,206.0
253,206.0
254,206.0
255,206.0
256,206.0
257,206.0
258,206.0
259,206.0
260,206.0
261,206.0
262,206.0
263,206.0
264,206.0
265,206.0
266,206.0
267,206.0
268,206.0
269,206.0
270,207.0
271,207.0
272,207.0
273,207.0
274,207.0
275,207.0
276,207.0
277,207.0
278,207.0
279,207.0
280,207.0
281,207.0
282,207.0
283,207.0
284,207.0
285,207.0
286,207.0
287,207.0
288,207.0
289,207.0
290,207.0
291,207.0
292,207.0
293,207.0
294,207.0
295,207.0
296,207.0
297,207.0
298,207.0
299,207.0
300,207.0
301,207.0
302,208.0
303,208.0
304,208.0
305,208.0
306,208.0
307,208.0
308,208.0
309,208.0
310,208.0
311,208.0
312,208.0
313,208.0
314,208.0
315,208.0
316,208.0
317,208.0
318,208.0
319,208.0
320,208.0
321,208.0
322,208.0
323,208.0
324,208.0
325,208.0
326,208.0
327,208.0
328,208.0
329,208.0
330,208.0
331,208.0
332,208.0
333,209.0
334,209.0
335,209.0
336,209.0
337,209.0
338,209.0
339,209.0
340,209.0
341,209.0
342,209.0
343,209.0
344,209.0
345,209.0
346,209.0
347,209.0
348,209.0
349,209.0
350,209.0
351,209.0
352,209.0
353,209.0
354,209.0
355,209.0
356,209.0
357,209.0
358,209.0
359,209.0
360,209.0
361,209.0
362,209.0
363,210.0
364,210.0
365,210.0
366,212.0
367,212.0
368,212.0
369,212.0
370,212.0
371,212.0
372,212.0
373,212.0
374,212.0
375,212.0
376,212.0
377,212.0
378,212.0
379,212.0
380,212.0
381,212.0
382,212.0
383,212.0
384,212.0
385,212.0
386,212.0
387,212.0
388,212.0
389,213.0
390,213.0
391,213.0
392,213.0
393,213.0
394,213.0
395,213.0
396,213.0
397,213.0
398,213.0
399,213.0
400,213.0
401,213.0
402,213.0
403,213.0
404,213.0
405,213.0
406,213.0
407,213.0
408,213.0
409,213.0
410,213.0
411,213.0
412,213.0
413,213.0
414,213.0
415,213.0
416,213.0
417,214.0
418,214.0
419,214.0
420,214.0
421,214.0
422,214.0
423,214.0
424,214.0
425,214.0
426,214.0
427,214.0
428,214.0
429,214.0
430,214.0
431,214.0
432,214.0
433,214.0
434,214.0
435,214.0
436,214.0
437,214.0
438,214.0
439,214.0
440,214.0
441,214.0
442,214.0
443,214.0
444,215.0
