,0
0,7
1,9
2,5
3,6
4,8
5,9
6,4
7,8
8,4
9,6
10,8
11,7
12,5
13,8
14,7
15,6
16,6
17,6
18,6
19,8
20,8
21,5
22,8
23,8
0,6
1,6
2,4
3,5
4,5
5,7
6,5
7,5
8,4
9,7
10,7
11,7
12,9
13,6
14,8
15,7
16,9
17,6
18,8
19,6
20,9
21,7
22,5
23,7
0,6
1,4
2,6
3,6
4,8
5,8
6,5
7,5
8,5
9,6
10,6
11,5
12,5
13,5
14,4
15,6
16,8
17,8
18,8
19,5
20,5
21,7
22,7
23,7
0,4
1,7
2,10
3,6
4,7
5,9
6,8
7,7
8,6
9,5
10,7
11,8
12,7
13,6
14,7
15,6
16,9
17,6
18,8
19,7
20,6
21,7
22,7
23,8
0,7
1,6
2,5
3,7
4,9
5,7
6,9
7,7
8,9
9,7
10,6
11,5
12,6
13,7
14,9
15,8
16,9
17,6
18,6
19,6
20,7
21,9
22,6
23,7
0,8
1,9
2,9
3,9
4,5
5,5
6,9
7,6
8,9
9,7
10,7
11,7
12,8
13,7
14,9
15,8
16,6
17,4
18,8
19,8
20,6
21,8
22,6
23,5
0,7
1,6
2,8
3,6
4,6
5,6
6,9
7,7
8,7
9,7
10,7
11,4
12,7
13,7
14,8
15,6
16,7
17,7
18,6
19,8
20,8
21,8
22,9
23,6
0,6
1,8
2,7
3,6
4,6
5,8
6,1
7,8
8,8
9,4
10,6
11,7
12,5
13,6
14,6
15,7
16,7
17,6
18,10
19,7
20,8
21,6
22,8
23,4
0,6
1,6
2,6
3,5
4,6
5,9
6,6
7,7
8,5
9,4
10,8
11,6
12,5
13,8
14,7
15,7
16,8
17,6
18,10
19,8
20,7
21,5
22,5
23,6
0,4
1,6
2,7
3,6
4,6
5,7
6,6
7,3
8,5
9,6
10,10
11,7
12,5
13,5
14,7
15,9
16,6
17,4
18,6
19,6
20,4
21,7
22,6
23,8
0,7
1,7
2,6
3,9
4,7
5,4
6,7
7,9
8,7
9,5
10,8
11,8
12,10
13,2
14,7
15,8
16,6
17,9
18,5
19,9
20,8
21,7
22,6
23,7
0,6
1,6
2,4
3,8
4,6
5,7
6,5
7,8
8,6
9,8
10,7
11,1
12,9
13,5
14,4
15,6
16,7
17,4
18,9
19,6
20,8
21,6
22,5
23,5
0,6
1,9
2,6
3,7
4,7
5,5
6,8
7,4
8,6
9,7
10,7
11,7
12,5
13,6
14,6
15,7
16,9
17,7
18,8
19,7
20,5
21,5
22,7
23,8
0,6
1,9
2,5
3,8
4,5
5,7
6,6
7,8
8,8
9,7
10,5
11,7
12,6
13,9
14,3
15,4
16,6
17,6
18,6
19,4
20,5
21,5
22,4
23,8
0,5
1,8
2,7
3,9
4,7
5,9
6,6
7,7
8,7
9,5
10,3
11,7
12,5
13,3
14,6
15,7
16,8
17,8
18,7
19,7
20,7
21,8
22,7
23,6
0,8
1,7
2,6
3,7
4,7
5,6
6,3
7,7
8,7
9,8
10,7
11,9
12,8
13,8
14,6
15,9
16,6
17,8
18,6
19,6
20,4
21,9
22,7
23,6
0,5
1,9
2,8
3,8
4,9
5,6
6,4
7,8
8,4
9,6
10,6
11,6
12,6
13,6
14,6
15,5
16,6
17,7
18,7
19,7
20,6
21,9
22,5
23,8
0,8
1,7
2,6
3,7
4,7
5,5
6,7
7,9
8,9
9,4
10,6
11,6
12,8
13,4
14,7
15,5
16,6
17,9
18,10
19,8
20,8
21,10
22,9
23,7
0,9
1,7
2,5
3,7
4,7
5,6
6,5
7,7
8,7
9,7
10,7
11,8
12,8
13,8
14,7
15,8
16,8
17,9
18,8
19,8
20,7
21,7
22,6
23,6
0,9
1,3
2,6
3,5
4,6
5,7
6,4
7,8
8,6
9,7
10,9
11,7
12,7
13,6
14,7
15,5
16,4
17,6
18,7
19,9
20,8
21,7
22,6
23,5
0,9
1,6
2,6
3,7
4,6
5,8
6,5
7,9
8,8
9,8
10,7
11,7
12,8
13,5
14,7
15,7
16,8
17,7
18,7
19,8
20,6
21,7
22,7
23,4
0,4
1,7
2,5
3,7
4,9
5,8
6,8
7,6
8,7
9,7
10,8
11,5
12,6
13,8
14,7
15,9
16,8
17,7
18,9
19,6
20,7
21,10
22,5
