,0
0,75
1,103
2,81
3,91
4,74
5,73
6,70
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,122
18,333
19,338
20,336
21,277
22,132
23,108
0,75
1,69
2,77
3,76
4,80
5,91
6,65
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,107
18,337
19,338
20,335
21,283
22,155
23,98
0,85
1,79
2,88
3,85
4,79
5,83
6,80
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,118
18,335
19,336
20,334
21,285
22,145
23,108
0,80
1,84
2,90
3,67
4,91
5,78
6,74
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,105
18,337
19,337
20,335
21,277
22,130
23,95
0,82
1,78
2,83
3,73
4,87
5,92
6,71
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,99
18,338
19,336
20,334
21,275
22,139
23,106
0,78
1,83
2,64
3,66
4,73
5,91
6,60
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,86
18,338
19,335
20,331
21,288
22,150
23,108
0,72
1,89
2,84
3,84
4,78
5,78
6,74
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,97
18,338
19,337
20,333
21,281
22,149
23,109
0,72
1,97
2,75
3,82
4,89
5,74
6,82
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,88
18,337
19,337
20,333
21,285
22,140
23,100
0,85
1,68
2,92
3,87
4,77
5,96
6,74
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,81
18,337
19,335
20,334
21,285
22,152
23,99
0,91
1,78
2,78
3,81
4,86
5,71
6,63
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,76
18,334
19,336
20,339
21,283
22,152
23,100
0,76
1,91
2,85
3,77
4,87
5,82
6,76
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,61
18,337
19,334
20,339
21,279
22,140
23,100
0,78
1,82
2,71
3,75
4,66
5,88
6,70
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,77
18,334
19,337
20,337
21,279
22,133
23,87
0,86
1,81
2,91
3,83
4,100
5,77
6,69
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,65
18,339
19,336
20,336
21,276
22,144
23,113
0,77
1,86
2,83
3,85
4,78
5,80
6,73
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,68
18,336
19,337
20,336
21,287
22,151
23,102
0,65
1,83
2,71
3,79
4,77
5,77
6,73
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,46
18,336
19,339
20,332
21,276
22,141
23,109
0,94
1,88
2,90
3,97
4,67
5,89
6,71
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,51
18,332
19,336
20,337
21,288
22,143
23,114
0,98
1,80
2,86
3,87
4,87
5,69
6,63
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,44
18,331
19,335
20,338
21,270
22,150
23,96
0,87
1,90
2,83
3,68
4,97
5,79
6,72
7,0
8,0
9,0
10,0
11,0
12,0
13,0
