,0
0,86
1,66
2,81
3,69
4,76
5,76
6,103
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,121
18,186
19,189
20,184
21,190
22,181
23,161
0,62
1,88
2,72
3,92
4,72
5,83
6,119
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,121
18,185
19,182
20,192
21,187
22,178
23,160
0,75
1,85
2,84
3,73
4,80
5,87
6,110
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,112
18,178
19,190
20,180
21,182
22,177
23,159
0,79
1,71
2,87
3,74
4,64
5,87
6,106
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,124
18,183
19,183
20,183
21,178
22,182
23,152
0,72
1,76
2,84
3,90
4,88
5,74
6,120
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,122
18,184
19,183
20,188
21,179
22,171
23,167
0,80
1,77
2,80
3,87
4,75
5,81
6,117
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,108
18,187
19,185
20,188
21,186
22,164
23,166
0,80
1,88
2,84
3,92
4,81
5,73
6,132
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,125
18,187
19,178
20,178
21,182
22,175
23,162
0,71
1,84
2,86
3,78
4,70
5,75
6,121
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,113
18,184
19,190
20,189
21,191
22,180
23,159
0,81
1,79
2,93
3,83
4,75
5,93
6,109
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,109
18,183
19,187
20,187
21,185
22,181
23,165
0,72
1,69
2,82
3,75
4,79
5,81
6,119
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,100
18,184
19,186
20,185
21,193
22,178
23,163
0,84
1,70
2,73
3,92
4,72
5,87
6,120
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,95
18,191
19,191
20,187
21,180
22,177
23,166
0,72
1,90
2,73
3,84
4,79
5,86
6,110
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,101
18,189
19,184
20,195
21,188
22,169
23,155
0,80
1,75
2,79
3,76
4,89
5,79
6,120
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,101
18,184
19,188
20,185
21,187
22,178
23,169
0,73
