Device,Available,Power,Initial,Final,Innovation,Imitation,Type
light,Y,3,2,4,0.04,0.5,Domestic
phone,Y,5,2.2,3,0.02,0.2,Domestic
radio,Y,10,0.28,0.35,0.01,0.2,Domestic
tv,Y,20,0.08,0.9,0.03,0.25,Domestic
laptop,Y,40,0.01,0.5,0.02,0.1,Domestic
fridge,Y,50,0,0.5,0.02,0.2,Domestic
fan,Y,10,0.1,2,0.04,0.3,Domestic
kerosene,Y,1,3.4,2,0.02,0.1,Domestic
mill,Y,750,0.01,0.1,0.02,0.2,Commercial
workshop,Y,350,0.05,0.05,0.02,0.2,Commercial
SME,Y,200,0.05,0.03,0.25,0.25,Commercial
streetlight,Y,25,0.2,0.2,0,0,Public
