,0
0,340
1,339
2,339
3,339
4,339
5,339
6,339
7,339
8,339
9,339
10,339
11,339
12,339
13,339
14,339
15,339
16,339
17,339
18,339
19,339
20,339
21,339
22,339
23,339
24,339
25,339
26,339
27,339
28,339
29,339
30,339
31,339
32,339
33,339
34,339
35,339
36,339
37,339
38,339
39,339
40,339
41,339
42,339
43,339
44,339
45,339
46,339
47,339
48,339
49,339
50,339
51,339
52,339
53,339
54,339
55,339
56,339
57,339
58,339
59,339
60,339
61,339
62,339
63,339
64,339
65,339
66,339
67,339
68,339
69,339
70,339
71,339
72,339
73,339
74,339
75,339
76,339
77,339
78,339
79,339
80,339
81,339
82,339
83,339
84,339
85,339
86,339
87,339
88,339
89,339
90,339
91,339
92,339
93,339
94,339
95,339
96,339
97,339
98,339
99,339
100,339
101,339
102,339
103,339
104,339
105,339
106,339
107,339
108,339
109,339
110,339
111,339
112,339
113,339
114,339
115,339
116,339
117,339
118,339
119,339
120,339
121,339
122,339
123,339
124,339
125,339
126,339
127,339
128,339
129,338
130,338
131,338
132,338
133,338
134,338
135,338
136,338
137,338
138,338
139,338
140,338
141,338
142,338
143,338
144,338
145,338
146,338
147,338
148,338
149,338
150,338
151,338
152,338
153,338
154,338
155,338
156,338
157,338
158,338
159,338
160,338
161,338
162,338
163,338
164,338
165,338
166,338
167,338
168,338
169,338
170,338
171,338
172,338
173,338
174,338
175,338
176,338
177,338
178,338
179,338
180,338
181,338
182,338
183,338
184,338
185,338
186,338
187,338
188,338
189,338
190,338
191,338
192,338
193,338
194,338
195,338
196,338
197,338
198,338
199,338
200,338
201,338
202,338
203,338
204,338
205,338
206,338
207,338
208,338
209,338
210,338
211,338
212,338
213,338
214,338
215,338
216,338
217,338
218,338
219,338
220,338
221,338
222,338
223,338
224,338
225,338
226,338
227,338
228,338
229,338
230,338
231,338
232,338
233,338
234,338
235,338
236,338
237,338
238,338
239,338
240,338
241,338
242,338
243,338
244,338
245,338
246,338
247,338
248,338
249,338
250,338
251,338
252,338
253,338
254,337
255,337
256,337
257,337
258,337
259,337
260,337
261,337
262,337
263,337
264,337
265,337
266,337
267,337
268,337
269,337
270,337
271,337
272,337
273,337
274,337
275,337
276,337
277,337
278,337
279,337
280,337
281,337
282,337
283,337
284,337
285,337
286,337
287,337
288,337
289,337
290,337
291,337
292,337
293,337
294,337
295,337
296,337
297,337
298,337
299,337
300,337
301,337
302,337
303,337
304,337
305,337
306,337
307,337
308,337
309,337
310,337
311,337
312,337
313,337
314,337
315,337
316,337
317,337
318,337
319,337
320,337
321,337
322,337
323,337
324,337
325,337
326,337
327,337
328,337
329,337
330,337
331,337
332,337
333,337
334,337
335,337
336,337
337,337
338,337
339,337
340,337
341,337
342,337
343,337
344,337
345,337
346,337
347,337
348,337
349,337
350,337
351,337
352,337
353,337
354,337
355,337
356,337
357,337
358,337
359,337
360,337
361,337
362,337
363,337
364,337
365,337
366,340
367,340
368,340
369,340
370,340
371,340
372,340
373,340
374,340
375,340
376,340
377,340
378,340
379,340
380,340
381,340
382,340
383,340
384,340
385,340
386,340
387,340
388,340
389,340
390,340
391,340
392,340
393,340
394,340
395,340
396,340
397,340
398,340
399,340
400,340
401,340
402,340
403,340
404,340
405,340
406,340
407,340
408,340
409,340
410,340
411,340
412,340
413,340
414,340
415,340
416,340
417,340
418,340
419,340
420,339
421,339
422,339
423,339
424,339
425,339
426,339
427,339
428,339
429,339
430,339
431,339
432,339
433,339
434,339
435,339
436,339
437,339
438,339
439,339
440,339
441,339
442,339
443,339
444,339
445,339
446,339
447,339
448,339
449,339
450,339
451,339
452,339
453,339
454,339
455,339
456,339
457,339
458,339
459,339
460,339
461,339
462,339
463,339
464,339
465,339
466,339
467,339
468,339
469,339
470,339
471,339
472,339
473,339
474,339
475,339
476,339
477,339
478,339
479,339
480,339
481,339
482,339
483,339
484,339
485,339
486,339
487,339
488,339
489,339
490,339
491,339
492,339
493,339
494,339
495,339
496,339
497,339
498,339
499,339
500,339
501,339
502,339
503,339
504,339
505,339
506,339
507,339
508,339
509,339
510,339
511,339
512,339
513,339
514,339
515,339
516,339
517,339
518,339
519,339
520,339
521,339
522,339
523,339
524,339
525,339
526,339
527,339
528,339
529,339
530,339
531,339
532,339
533,339
534,339
535,339
536,339
537,338
538,338
539,338
540,338
541,338
542,338
543,338
544,338
545,338
546,338
547,338
548,338
549,338
550,338
551,338
552,338
553,338
554,338
555,338
556,338
557,338
558,338
559,338
560,338
561,338
562,338
563,338
564,338
565,338
566,338
567,338
568,338
569,338
570,338
571,338
572,338
573,338
574,338
575,338
576,338
577,338
578,338
579,338
580,338
581,338
582,338
583,338
584,338
585,338
586,338
587,338
588,338
589,338
590,338
591,338
592,338
593,338
594,338
595,338
596,338
597,338
598,338
599,338
600,338
601,338
602,338
603,338
604,338
605,338
606,338
607,338
608,338
609,338
610,338
611,338
612,338
613,338
614,338
615,338
616,338
617,338
618,338
619,338
620,338
621,338
622,338
623,338
624,338
625,338
626,338
627,338
628,338
629,338
630,338
631,338
632,338
633,338
634,338
635,338
636,338
637,338
638,338
639,338
640,338
641,338
642,338
643,338
644,338
645,338
646,338
647,338
648,338
649,338
650,337
651,337
652,337
653,337
654,337
655,337
656,337
657,337
658,337
659,337
660,337
661,337
662,337
663,337
664,337
665,337
666,337
667,337
668,337
669,337
670,337
671,337
672,337
673,337
674,337
675,337
676,337
677,337
678,337
679,337
680,337
681,337
682,337
683,337
684,337
685,337
686,337
687,337
688,337
689,337
690,337
691,337
692,337
693,337
694,337
695,337
696,337
697,337
698,337
699,337
700,337
701,337
702,337
703,337
704,337
705,337
706,337
707,337
708,337
709,337
710,337
711,337
712,337
713,337
714,337
715,337
716,337
717,337
718,337
719,337
720,337
721,337
722,337
723,337
724,337
725,337
726,337
727,340
728,340
729,340
730,340
731,340
732,340
733,340
734,340
735,340
736,340
737,340
738,340
739,340
740,340
741,340
742,340
743,340
744,340
745,340
746,340
747,340
748,340
749,340
750,340
751,340
752,340
753,340
754,340
755,340
756,340
757,340
758,340
759,340
760,340
761,340
762,340
763,340
764,340
765,340
766,340
767,340
768,340
769,340
770,340
771,340
772,340
773,340
774,340
775,340
776,340
777,340
778,340
779,340
780,340
781,340
782,340
783,340
784,340
785,340
786,340
787,340
788,340
789,340
790,340
791,340
792,340
793,340
794,340
795,340
796,340
797,340
798,340
799,339
800,339
801,339
802,339
803,339
804,339
805,339
806,339
807,339
808,339
809,339
810,339
811,339
812,339
813,339
814,339
815,339
816,339
817,339
818,339
819,339
820,339
821,339
822,339
823,339
824,339
825,339
826,339
827,339
828,339
829,339
830,339
831,339
832,339
833,339
834,339
835,339
836,339
837,339
838,339
839,339
840,339
841,339
842,339
843,339
844,339
845,339
846,339
847,339
848,339
849,339
850,339
851,339
852,339
853,339
854,339
855,339
856,339
857,339
858,339
859,339
860,339
861,339
862,339
863,339
864,339
865,339
866,339
867,339
868,339
869,339
870,339
871,339
872,339
873,339
874,339
875,339
876,339
877,339
878,339
879,339
880,339
881,339
882,339
883,339
884,339
885,339
886,339
887,339
888,339
889,339
890,339
891,339
892,339
893,339
894,339
895,339
896,339
897,339
898,339
899,339
900,339
901,339
902,339
903,339
904,339
905,339
906,338
907,338
908,338
909,338
910,338
911,338
912,338
913,338
914,338
915,338
916,338
917,338
918,338
919,338
920,338
921,338
922,338
923,338
