,0
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,1
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,1
503,0
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,1
526,0
527,1
528,0
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,1
539,0
540,0
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,0
582,1
583,0
584,1
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,0
593,1
594,1
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,0
611,0
612,0
613,1
614,1
615,0
616,0
617,1
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,0
628,0
629,1
630,0
631,1
632,1
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,1
649,1
650,1
651,0
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,0
673,1
674,0
675,0
676,1
677,1
678,0
679,0
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,0
700,1
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,0
748,1
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,1
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,0
781,1
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,1
795,0
796,1
797,0
798,1
799,0
800,0
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
