,0
0,258.0
1,198.0
2,243.0
3,207.0
4,228.0
5,228.0
6,309.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,363.0
18,558.0
19,567.0
20,552.0
21,570.0
22,543.0
23,483.0
0,186.0
1,264.0
2,216.0
3,276.0
4,216.0
5,249.0
6,357.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,363.0
18,555.0
19,546.0
20,576.0
21,561.0
22,534.0
23,480.0
0,225.0
1,255.0
2,252.0
3,219.0
4,240.0
5,261.0
6,330.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,336.0
18,534.0
19,570.0
20,540.0
21,546.0
22,531.0
23,477.0
0,237.0
1,213.0
2,261.0
3,222.0
4,192.0
5,261.0
6,318.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,372.0
18,549.0
19,549.0
20,549.0
21,534.0
22,546.0
23,456.0
0,216.0
1,228.0
2,252.0
3,270.0
4,264.0
5,222.0
6,360.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,366.0
18,552.0
19,549.0
20,564.0
21,537.0
22,513.0
23,501.0
0,240.0
1,231.0
2,240.0
3,261.0
4,225.0
5,243.0
6,351.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,324.0
18,561.0
19,555.0
20,564.0
21,558.0
22,492.0
23,498.0
0,240.0
1,264.0
2,252.0
3,276.0
4,243.0
5,219.0
6,396.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,375.0
18,561.0
19,534.0
20,534.0
21,546.0
22,525.0
23,486.0
0,213.0
1,252.0
2,258.0
3,234.0
4,210.0
5,225.0
6,363.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,339.0
18,552.0
19,570.0
20,567.0
21,573.0
22,540.0
23,477.0
0,243.0
1,237.0
2,279.0
3,249.0
4,225.0
5,279.0
6,327.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,327.0
18,549.0
19,561.0
20,561.0
21,555.0
22,543.0
23,495.0
0,216.0
1,207.0
2,246.0
3,225.0
4,237.0
5,243.0
6,357.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,300.0
18,552.0
19,558.0
20,555.0
21,579.0
22,534.0
23,489.0
0,252.0
1,210.0
2,219.0
3,276.0
4,216.0
5,261.0
6,360.0
7,0.0
