,Domestic,Commercial,Public
0,408.0,200.0,500.0
1,391.0,0.0,500.0
2,374.0,0.0,500.0
3,358.0,0.0,0.0
4,382.0,0.0,0.0
5,391.0,0.0,0.0
6,424.0,0.0,0.0
7,95.0,1100.0,0.0
8,55.0,1350.0,0.0
9,135.0,1100.0,0.0
10,140.0,550.0,0.0
11,135.0,1450.0,0.0
12,100.0,950.0,0.0
13,145.0,900.0,0.0
14,150.0,1700.0,0.0
15,115.0,2000.0,0.0
16,105.0,1300.0,0.0
17,645.0,2800.0,0.0
18,1201.0,200.0,500.0
19,1325.0,2400.0,500.0
20,1363.0,0.0,500.0
21,997.0,0.0,500.0
22,865.0,750.0,500.0
23,686.0,750.0,500.0
24,326.0,0.0,500.0
25,393.0,0.0,500.0
26,333.0,0.0,500.0
27,402.0,0.0,0.0
28,346.0,0.0,0.0
29,415.0,0.0,0.0
30,472.0,0.0,0.0
31,75.0,0.0,0.0
32,100.0,1450.0,0.0
33,100.0,1800.0,0.0
34,130.0,2000.0,0.0
35,120.0,2050.0,0.0
36,170.0,1100.0,0.0
37,110.0,1100.0,0.0
38,185.0,750.0,0.0
39,145.0,1300.0,0.0
40,175.0,1650.0,0.0
41,630.0,1100.0,0.0
42,1222.0,400.0,500.0
43,1234.0,1150.0,500.0
44,1266.0,0.0,500.0
45,1139.0,200.0,500.0
46,869.0,0.0,500.0
47,653.0,0.0,500.0
48,380.0,0.0,500.0
49,379.0,0.0,500.0
50,400.0,0.0,500.0
51,364.0,0.0,0.0
52,399.0,0.0,0.0
53,424.0,0.0,0.0
54,460.0,0.0,0.0
55,65.0,750.0,0.0
56,70.0,1450.0,0.0
57,150.0,1100.0,0.0
58,105.0,2200.0,0.0
59,90.0,1850.0,0.0
60,120.0,1100.0,0.0
61,120.0,1650.0,0.0
62,80.0,1850.0,0.0
63,135.0,2050.0,0.0
64,135.0,550.0,0.0
65,639.0,1850.0,0.0
66,1184.0,350.0,500.0
67,1281.0,1150.0,500.0
68,1214.0,200.0,500.0
69,1121.0,0.0,500.0
70,906.0,0.0,500.0
71,710.0,0.0,500.0
72,357.0,0.0,500.0
73,367.0,350.0,500.0
74,451.0,0.0,500.0
75,349.0,0.0,0.0
76,353.0,0.0,0.0
77,429.0,350.0,0.0
78,477.0,0.0,0.0
79,90.0,0.0,0.0
80,95.0,1150.0,0.0
81,110.0,1650.0,0.0
82,100.0,550.0,0.0
83,140.0,350.0,0.0
84,110.0,1300.0,0.0
85,130.0,1100.0,0.0
86,170.0,1100.0,0.0
87,125.0,550.0,0.0
88,140.0,900.0,0.0
89,637.0,550.0,0.0
90,1301.0,1300.0,500.0
91,1276.0,750.0,500.0
92,1274.0,0.0,500.0
93,996.0,0.0,500.0
94,821.0,0.0,500.0
95,666.0,0.0,500.0
96,383.0,0.0,500.0
97,366.0,0.0,500.0
98,385.0,0.0,500.0
99,413.0,750.0,0.0
100,441.0,0.0,0.0
101,384.0,0.0,0.0
102,526.0,0.0,0.0
103,85.0,200.0,0.0
104,110.0,950.0,0.0
105,125.0,1100.0,0.0
106,115.0,1800.0,0.0
107,95.0,1100.0,0.0
108,100.0,550.0,0.0
109,110.0,750.0,0.0
110,135.0,1650.0,0.0
111,140.0,1400.0,0.0
112,190.0,2200.0,0.0
113,665.0,950.0,0.0
114,1190.0,0.0,500.0
115,1260.0,1500.0,500.0
116,1248.0,0.0,500.0
117,1052.0,0.0,500.0
118,842.0,0.0,500.0
119,707.0,0.0,500.0
120,403.0,0.0,500.0
121,404.0,0.0,500.0
122,394.0,0.0,500.0
123,417.0,0.0,0.0
124,348.0,0.0,0.0
125,389.0,0.0,0.0
126,511.0,0.0,0.0
127,60.0,0.0,0.0
128,165.0,700.0,0.0
129,160.0,1500.0,0.0
130,150.0,1150.0,0.0
131,120.0,750.0,0.0
132,130.0,1450.0,0.0
133,160.0,1100.0,0.0
134,170.0,1100.0,0.0
135,95.0,550.0,0.0
136,90.0,550.0,0.0
137,565.0,1100.0,0.0
138,1284.0,200.0,500.0
139,1290.0,1150.0,500.0
140,1295.0,0.0,500.0
141,1161.0,0.0,500.0
142,802.0,0.0,500.0
