,0
0,220.0
1,220.0
2,220.0
3,220.0
4,220.0
5,220.0
6,220.0
7,220.0
8,220.0
9,220.0
10,220.0
11,220.0
12,220.0
13,220.0
14,220.0
15,220.0
16,220.0
17,220.0
18,220.0
19,220.0
20,220.0
21,220.0
22,220.0
23,220.0
24,220.0
25,220.0
26,220.0
27,220.0
28,220.0
29,220.0
30,220.0
31,220.0
32,220.0
33,220.0
34,220.0
35,220.0
36,220.0
37,220.0
38,220.0
39,220.0
40,220.0
41,220.0
42,220.0
43,220.0
44,220.0
45,220.0
46,220.0
47,220.0
48,220.0
49,220.0
50,220.0
51,220.0
52,220.0
53,220.0
54,220.0
55,220.0
56,220.0
57,220.0
58,220.0
59,220.0
60,220.0
61,220.0
62,220.0
63,220.0
64,220.0
65,220.0
66,220.0
67,220.0
68,220.0
69,220.0
70,220.0
71,220.0
72,220.0
73,220.0
74,220.0
75,220.0
76,220.0
77,220.0
78,220.0
79,220.0
80,220.0
81,220.0
82,220.0
83,220.0
84,220.0
85,220.0
86,220.0
87,220.0
88,220.0
89,220.0
90,220.0
91,220.0
92,220.0
93,220.0
94,220.0
95,220.0
96,220.0
97,220.0
98,220.0
99,220.0
100,220.0
101,220.0
102,220.0
103,220.0
104,220.0
105,220.0
106,220.0
107,220.0
108,220.0
109,220.0
110,220.0
111,220.0
112,220.0
113,220.0
114,220.0
115,220.0
116,220.0
117,220.0
118,220.0
119,220.0
120,220.0
121,220.0
122,220.0
123,220.0
124,220.0
125,220.0
126,220.0
127,220.0
128,220.0
129,220.0
130,220.0
131,220.0
132,220.0
133,220.0
134,220.0
135,220.0
136,220.0
137,220.0
138,220.0
139,220.0
140,220.0
141,220.0
142,220.0
143,220.0
144,220.0
145,220.0
146,220.0
147,220.0
148,220.0
149,220.0
150,220.0
151,220.0
152,220.0
153,220.0
154,220.0
155,220.0
156,220.0
157,220.0
158,220.0
159,220.0
160,220.0
161,220.0
162,220.0
163,220.0
164,220.0
165,220.0
166,220.0
167,220.0
168,220.0
169,220.0
170,220.0
171,220.0
172,220.0
173,220.0
174,220.0
175,220.0
176,220.0
177,220.0
178,220.0
179,220.0
180,220.0
181,220.0
182,220.0
183,220.0
184,220.0
185,220.0
186,220.0
187,220.0
188,220.0
189,220.0
190,220.0
191,220.0
192,220.0
193,220.0
194,220.0
195,220.0
196,220.0
197,220.0
198,220.0
199,220.0
200,220.0
201,220.0
202,220.0
203,220.0
204,220.0
205,220.0
206,220.0
207,220.0
208,220.0
209,220.0
210,220.0
211,220.0
212,220.0
213,220.0
214,220.0
215,220.0
216,220.0
217,221.0
218,221.0
219,221.0
220,221.0
221,221.0
222,221.0
223,221.0
224,221.0
225,221.0
226,221.0
227,221.0
228,221.0
229,221.0
230,221.0
231,221.0
232,221.0
233,221.0
234,221.0
235,221.0
236,221.0
237,221.0
238,221.0
239,221.0
240,221.0
241,221.0
242,221.0
243,221.0
244,221.0
245,221.0
246,221.0
247,221.0
248,221.0
249,221.0
250,221.0
251,221.0
252,221.0
253,221.0
254,221.0
255,221.0
256,221.0
257,221.0
258,221.0
259,221.0
260,221.0
261,221.0
262,221.0
263,221.0
264,221.0
265,221.0
266,221.0
267,221.0
268,221.0
269,221.0
270,221.0
271,221.0
272,221.0
273,221.0
274,221.0
275,221.0
276,221.0
277,221.0
278,221.0
279,221.0
280,221.0
281,221.0
282,221.0
283,221.0
284,221.0
285,221.0
286,221.0
287,221.0
288,221.0
289,221.0
290,221.0
291,221.0
292,221.0
293,221.0
294,221.0
295,221.0
296,221.0
297,221.0
298,221.0
299,221.0
300,221.0
301,221.0
302,221.0
303,221.0
304,221.0
305,221.0
306,221.0
307,221.0
308,221.0
309,221.0
310,221.0
311,221.0
312,221.0
313,221.0
314,221.0
315,221.0
316,221.0
317,221.0
318,221.0
319,221.0
320,221.0
321,221.0
322,221.0
323,221.0
324,221.0
325,221.0
326,221.0
327,221.0
328,221.0
329,221.0
330,221.0
331,221.0
332,221.0
333,221.0
334,221.0
335,221.0
336,221.0
337,221.0
338,221.0
339,221.0
340,221.0
341,221.0
342,221.0
343,221.0
344,221.0
345,221.0
346,221.0
347,221.0
348,221.0
349,221.0
350,221.0
351,221.0
352,221.0
353,221.0
354,221.0
355,221.0
356,221.0
357,221.0
358,221.0
359,221.0
360,221.0
361,221.0
362,221.0
363,221.0
364,221.0
365,221.0
366,223.0
367,223.0
368,223.0
369,223.0
370,223.0
371,223.0
372,224.0
373,224.0
374,224.0
375,224.0
376,224.0
377,224.0
378,224.0
379,224.0
380,224.0
381,224.0
382,224.0
383,224.0
384,224.0
385,224.0
386,224.0
387,224.0
388,224.0
389,224.0
390,224.0
391,224.0
392,224.0
393,224.0
394,224.0
395,224.0
396,224.0
397,224.0
398,224.0
399,224.0
400,224.0
401,224.0
402,224.0
403,224.0
404,224.0
405,224.0
406,224.0
407,224.0
408,224.0
409,224.0
410,224.0
411,224.0
412,224.0
413,224.0
414,224.0
415,224.0
416,224.0
417,224.0
418,224.0
419,224.0
420,224.0
421,224.0
422,224.0
423,224.0
424,224.0
425,224.0
426,224.0
427,224.0
428,224.0
429,224.0
430,224.0
431,224.0
432,224.0
433,224.0
434,224.0
435,224.0
436,224.0
437,224.0
438,224.0
439,224.0
440,224.0
441,224.0
442,224.0
443,224.0
444,224.0
445,224.0
446,224.0
447,224.0
448,224.0
449,224.0
450,224.0
451,224.0
452,224.0
453,224.0
454,224.0
455,224.0
456,224.0
457,224.0
458,224.0
459,224.0
460,224.0
461,224.0
462,224.0
463,224.0
464,224.0
465,224.0
466,224.0
467,224.0
468,224.0
469,224.0
470,224.0
471,224.0
472,224.0
473,224.0
474,224.0
475,224.0
476,224.0
477,224.0
478,224.0
479,224.0
480,224.0
481,224.0
482,224.0
483,224.0
484,224.0
485,224.0
486,224.0
487,224.0
488,224.0
489,224.0
490,224.0
491,224.0
492,224.0
493,224.0
494,224.0
495,224.0
496,224.0
497,224.0
498,224.0
499,224.0
500,224.0
501,224.0
502,224.0
503,224.0
504,224.0
505,224.0
506,224.0
507,224.0
508,224.0
509,224.0
510,224.0
511,224.0
512,224.0
513,224.0
514,224.0
515,224.0
516,224.0
517,224.0
518,224.0
519,224.0
520,224.0
521,224.0
522,224.0
523,224.0
524,224.0
525,224.0
526,224.0
527,224.0
528,224.0
529,224.0
530,224.0
531,224.0
532,224.0
533,224.0
534,224.0
535,224.0
536,224.0
537,224.0
538,224.0
539,224.0
540,224.0
541,224.0
542,224.0
543,224.0
544,224.0
545,224.0
546,224.0
547,224.0
548,224.0
549,224.0
550,224.0
551,224.0
552,224.0
553,225.0
554,225.0
555,225.0
556,225.0
557,225.0
558,225.0
559,225.0
560,225.0
561,225.0
562,225.0
563,225.0
564,225.0
565,225.0
566,225.0
567,225.0
568,225.0
569,225.0
570,225.0
571,225.0
572,225.0
573,225.0
574,225.0
575,225.0
576,225.0
577,225.0
578,225.0
579,225.0
580,225.0
581,225.0
582,225.0
583,225.0
584,225.0
585,225.0
586,225.0
587,225.0
588,225.0
589,225.0
590,225.0
591,225.0
592,225.0
593,225.0
594,225.0
595,225.0
596,225.0
597,225.0
598,225.0
599,225.0
600,225.0
601,225.0
602,225.0
603,225.0
604,225.0
605,225.0
606,225.0
607,225.0
608,225.0
609,225.0
610,225.0
611,225.0
612,225.0
613,225.0
614,225.0
615,225.0
616,225.0
617,225.0
618,225.0
619,225.0
620,225.0
621,225.0
622,225.0
623,225.0
624,225.0
625,225.0
626,225.0
627,225.0
628,225.0
629,225.0
630,225.0
631,225.0
632,225.0
633,225.0
634,225.0
635,225.0
636,225.0
637,225.0
638,225.0
639,225.0
640,225.0
641,225.0
642,225.0
643,225.0
644,225.0
645,225.0
646,225.0
647,225.0
648,225.0
649,225.0
650,225.0
651,225.0
652,225.0
653,225.0
654,225.0
655,225.0
656,225.0
