time,local_time,temperature
01/01/2020 00:00,01/01/2020 03:00,18.429
01/01/2020 01:00,01/01/2020 04:00,17.947
01/01/2020 02:00,01/01/2020 05:00,17.472
01/01/2020 03:00,01/01/2020 06:00,17.001
01/01/2020 04:00,01/01/2020 07:00,18.805
01/01/2020 05:00,01/01/2020 08:00,21.201
01/01/2020 06:00,01/01/2020 09:00,23.683
01/01/2020 07:00,01/01/2020 10:00,25.647
01/01/2020 08:00,01/01/2020 11:00,26.852
01/01/2020 09:00,01/01/2020 12:00,27.655
01/01/2020 10:00,01/01/2020 13:00,28.146
01/01/2020 11:00,01/01/2020 14:00,28.322
01/01/2020 12:00,01/01/2020 15:00,28.177
01/01/2020 13:00,01/01/2020 16:00,27.76
01/01/2020 14:00,01/01/2020 17:00,27.105
01/01/2020 15:00,01/01/2020 18:00,24.603
01/01/2020 16:00,01/01/2020 19:00,22.741
01/01/2020 17:00,01/01/2020 20:00,22.028
01/01/2020 18:00,01/01/2020 21:00,21.423
01/01/2020 19:00,01/01/2020 22:00,20.978
01/01/2020 20:00,01/01/2020 23:00,20.738
01/01/2020 21:00,02/01/2020 00:00,20.821
01/01/2020 22:00,02/01/2020 01:00,20.726
01/01/2020 23:00,02/01/2020 02:00,20.223
02/01/2020 00:00,02/01/2020 03:00,19.369
02/01/2020 01:00,02/01/2020 04:00,18.572
02/01/2020 02:00,02/01/2020 05:00,18.065
02/01/2020 03:00,02/01/2020 06:00,17.712
02/01/2020 04:00,02/01/2020 07:00,18.962
02/01/2020 05:00,02/01/2020 08:00,20.82
02/01/2020 06:00,02/01/2020 09:00,23.389
02/01/2020 07:00,02/01/2020 10:00,25.607
02/01/2020 08:00,02/01/2020 11:00,26.706
02/01/2020 09:00,02/01/2020 12:00,27.515
02/01/2020 10:00,02/01/2020 13:00,28.221
02/01/2020 11:00,02/01/2020 14:00,28.556
02/01/2020 12:00,02/01/2020 15:00,28.448
02/01/2020 13:00,02/01/2020 16:00,28.003
02/01/2020 14:00,02/01/2020 17:00,27.379
02/01/2020 15:00,02/01/2020 18:00,25.262
02/01/2020 16:00,02/01/2020 19:00,23.855
02/01/2020 17:00,02/01/2020 20:00,23.324
02/01/2020 18:00,02/01/2020 21:00,22.922
02/01/2020 19:00,02/01/2020 22:00,22.604
02/01/2020 20:00,02/01/2020 23:00,22.191
02/01/2020 21:00,03/01/2020 00:00,21.741
02/01/2020 22:00,03/01/2020 01:00,21.346
02/01/2020 23:00,03/01/2020 02:00,20.735
03/01/2020 00:00,03/01/2020 03:00,19.876
03/01/2020 01:00,03/01/2020 04:00,18.946
03/01/2020 02:00,03/01/2020 05:00,18.226
03/01/2020 03:00,03/01/2020 06:00,17.719
03/01/2020 04:00,03/01/2020 07:00,19.232
03/01/2020 05:00,03/01/2020 08:00,20.921
03/01/2020 06:00,03/01/2020 09:00,23.188
03/01/2020 07:00,03/01/2020 10:00,25.22
03/01/2020 08:00,03/01/2020 11:00,26.545
03/01/2020 09:00,03/01/2020 12:00,27.442
03/01/2020 10:00,03/01/2020 13:00,28.163
03/01/2020 11:00,03/01/2020 14:00,28.54
03/01/2020 12:00,03/01/2020 15:00,28.592
03/01/2020 13:00,03/01/2020 16:00,28.306
03/01/2020 14:00,03/01/2020 17:00,27.84
03/01/2020 15:00,03/01/2020 18:00,25.882
03/01/2020 16:00,03/01/2020 19:00,24.127
03/01/2020 17:00,03/01/2020 20:00,23.257
03/01/2020 18:00,03/01/2020 21:00,22.59
03/01/2020 19:00,03/01/2020 22:00,22.043
03/01/2020 20:00,03/01/2020 23:00,21.784
03/01/2020 21:00,04/01/2020 00:00,21.896
03/01/2020 22:00,04/01/2020 01:00,21.926
03/01/2020 23:00,04/01/2020 02:00,21.573
04/01/2020 00:00,04/01/2020 03:00,21.191
04/01/2020 01:00,04/01/2020 04:00,20.771
04/01/2020 02:00,04/01/2020 05:00,20.424
04/01/2020 03:00,04/01/2020 06:00,20.02
04/01/2020 04:00,04/01/2020 07:00,20.458
04/01/2020 05:00,04/01/2020 08:00,22.219
04/01/2020 06:00,04/01/2020 09:00,24.148
04/01/2020 07:00,04/01/2020 10:00,25.679
04/01/2020 08:00,04/01/2020 11:00,26.871
04/01/2020 09:00,04/01/2020 12:00,27.696
04/01/2020 10:00,04/01/2020 13:00,28.142
04/01/2020 11:00,04/01/2020 14:00,28.196
04/01/2020 12:00,04/01/2020 15:00,27.831
04/01/2020 13:00,04/01/2020 16:00,27.229
04/01/2020 14:00,04/01/2020 17:00,26.693
04/01/2020 15:00,04/01/2020 18:00,24.755
04/01/2020 16:00,04/01/2020 19:00,22.946
04/01/2020 17:00,04/01/2020 20:00,22.222
04/01/2020 18:00,04/01/2020 21:00,21.88
04/01/2020 19:00,04/01/2020 22:00,21.811
04/01/2020 20:00,04/01/2020 23:00,21.802
04/01/2020 21:00,05/01/2020 00:00,21.631
04/01/2020 22:00,05/01/2020 01:00,21.341
04/01/2020 23:00,05/01/2020 02:00,20.975
05/01/2020 00:00,05/01/2020 03:00,20.457
05/01/2020 01:00,05/01/2020 04:00,19.814
05/01/2020 02:00,05/01/2020 05:00,19.216
05/01/2020 03:00,05/01/2020 06:00,18.802
05/01/2020 04:00,05/01/2020 07:00,20.005
05/01/2020 05:00,05/01/2020 08:00,21.804
05/01/2020 06:00,05/01/2020 09:00,23.671
05/01/2020 07:00,05/01/2020 10:00,25.158
05/01/2020 08:00,05/01/2020 11:00,26.219
05/01/2020 09:00,05/01/2020 12:00,27.063
05/01/2020 10:00,05/01/2020 13:00,27.689
05/01/2020 11:00,05/01/2020 14:00,28.057
05/01/2020 12:00,05/01/2020 15:00,28.102
05/01/2020 13:00,05/01/2020 16:00,27.811
05/01/2020 14:00,05/01/2020 17:00,27.6
05/01/2020 15:00,05/01/2020 18:00,26.217
05/01/2020 16:00,05/01/2020 19:00,25.414
05/01/2020 17:00,05/01/2020 20:00,24.516
05/01/2020 18:00,05/01/2020 21:00,23.008
05/01/2020 19:00,05/01/2020 22:00,21.804
05/01/2020 20:00,05/01/2020 23:00,21.077
05/01/2020 21:00,06/01/2020 00:00,20.661
05/01/2020 22:00,06/01/2020 01:00,20.254
05/01/2020 23:00,06/01/2020 02:00,19.871
06/01/2020 00:00,06/01/2020 03:00,19.487
06/01/2020 01:00,06/01/2020 04:00,19.113
06/01/2020 02:00,06/01/2020 05:00,18.683
06/01/2020 03:00,06/01/2020 06:00,18.322
06/01/2020 04:00,06/01/2020 07:00,19.354
06/01/2020 05:00,06/01/2020 08:00,21.156
06/01/2020 06:00,06/01/2020 09:00,23.599
06/01/2020 07:00,06/01/2020 10:00,25.352
06/01/2020 08:00,06/01/2020 11:00,26.381
06/01/2020 09:00,06/01/2020 12:00,26.928
06/01/2020 10:00,06/01/2020 13:00,27.297
06/01/2020 11:00,06/01/2020 14:00,27.477
06/01/2020 12:00,06/01/2020 15:00,27.524
06/01/2020 13:00,06/01/2020 16:00,27.27
06/01/2020 14:00,06/01/2020 17:00,26.889
06/01/2020 15:00,06/01/2020 18:00,25.513
06/01/2020 16:00,06/01/2020 19:00,24.367
06/01/2020 17:00,06/01/2020 20:00,23.597
06/01/2020 18:00,06/01/2020 21:00,23.074
06/01/2020 19:00,06/01/2020 22:00,22.486
06/01/2020 20:00,06/01/2020 23:00,21.492
06/01/2020 21:00,07/01/2020 00:00,20.621
06/01/2020 22:00,07/01/2020 01:00,20.21
06/01/2020 23:00,07/01/2020 02:00,20.017
07/01/2020 00:00,07/01/2020 03:00,19.8
07/01/2020 01:00,07/01/2020 04:00,19.611
07/01/2020 02:00,07/01/2020 05:00,19.468
07/01/2020 03:00,07/01/2020 06:00,19.315
07/01/2020 04:00,07/01/2020 07:00,20.568
07/01/2020 05:00,07/01/2020 08:00,22.485
07/01/2020 06:00,07/01/2020 09:00,24.499
07/01/2020 07:00,07/01/2020 10:00,25.94
07/01/2020 08:00,07/01/2020 11:00,26.885
07/01/2020 09:00,07/01/2020 12:00,27.559
07/01/2020 10:00,07/01/2020 13:00,28.087
07/01/2020 11:00,07/01/2020 14:00,28.372
07/01/2020 12:00,07/01/2020 15:00,28.257
07/01/2020 13:00,07/01/2020 16:00,27.792
07/01/2020 14:00,07/01/2020 17:00,27.034
07/01/2020 15:00,07/01/2020 18:00,25.127
07/01/2020 16:00,07/01/2020 19:00,23.947
07/01/2020 17:00,07/01/2020 20:00,23.171
07/01/2020 18:00,07/01/2020 21:00,22.376
07/01/2020 19:00,07/01/2020 22:00,21.662
07/01/2020 20:00,07/01/2020 23:00,21.015
07/01/2020 21:00,08/01/2020 00:00,20.45
07/01/2020 22:00,08/01/2020 01:00,19.947
07/01/2020 23:00,08/01/2020 02:00,19.461
08/01/2020 00:00,08/01/2020 03:00,19.155
08/01/2020 01:00,08/01/2020 04:00,18.984
08/01/2020 02:00,08/01/2020 05:00,18.891
08/01/2020 03:00,08/01/2020 06:00,18.936
08/01/2020 04:00,08/01/2020 07:00,20.031
08/01/2020 05:00,08/01/2020 08:00,21.428
08/01/2020 06:00,08/01/2020 09:00,23.045
08/01/2020 07:00,08/01/2020 10:00,24.681
08/01/2020 08:00,08/01/2020 11:00,26.042
08/01/2020 09:00,08/01/2020 12:00,26.981
08/01/2020 10:00,08/01/2020 13:00,27.521
08/01/2020 11:00,08/01/2020 14:00,27.733
08/01/2020 12:00,08/01/2020 15:00,27.585
08/01/2020 13:00,08/01/2020 16:00,27.265
08/01/2020 14:00,08/01/2020 17:00,26.716
08/01/2020 15:00,08/01/2020 18:00,25.424
08/01/2020 16:00,08/01/2020 19:00,23.922
08/01/2020 17:00,08/01/2020 20:00,23.132
08/01/2020 18:00,08/01/2020 21:00,22.726
08/01/2020 19:00,08/01/2020 22:00,22.661
08/01/2020 20:00,08/01/2020 23:00,22.517
08/01/2020 21:00,09/01/2020 00:00,21.89
08/01/2020 22:00,09/01/2020 01:00,21.073
08/01/2020 23:00,09/01/2020 02:00,20.47
09/01/2020 00:00,09/01/2020 03:00,20.145
09/01/2020 01:00,09/01/2020 04:00,19.956
09/01/2020 02:00,09/01/2020 05:00,19.633
09/01/2020 03:00,09/01/2020 06:00,19.136
09/01/2020 04:00,09/01/2020 07:00,20.061
09/01/2020 05:00,09/01/2020 08:00,22.368
09/01/2020 06:00,09/01/2020 09:00,24.208
09/01/2020 07:00,09/01/2020 10:00,25.537
09/01/2020 08:00,09/01/2020 11:00,26.459
09/01/2020 09:00,09/01/2020 12:00,27.173
09/01/2020 10:00,09/01/2020 13:00,27.634
09/01/2020 11:00,09/01/2020 14:00,27.828
09/01/2020 12:00,09/01/2020 15:00,27.796
09/01/2020 13:00,09/01/2020 16:00,27.478
09/01/2020 14:00,09/01/2020 17:00,26.91
09/01/2020 15:00,09/01/2020 18:00,25.532
09/01/2020 16:00,09/01/2020 19:00,23.945
09/01/2020 17:00,09/01/2020 20:00,22.936
09/01/2020 18:00,09/01/2020 21:00,22.182
09/01/2020 19:00,09/01/2020 22:00,21.817
09/01/2020 20:00,09/01/2020 23:00,21.474
09/01/2020 21:00,10/01/2020 00:00,20.424
09/01/2020 22:00,10/01/2020 01:00,19.661
09/01/2020 23:00,10/01/2020 02:00,19.093
10/01/2020 00:00,10/01/2020 03:00,18.562
10/01/2020 01:00,10/01/2020 04:00,18.18
10/01/2020 02:00,10/01/2020 05:00,18.062
10/01/2020 03:00,10/01/2020 06:00,17.875
10/01/2020 04:00,10/01/2020 07:00,18.92
10/01/2020 05:00,10/01/2020 08:00,20.599
10/01/2020 06:00,10/01/2020 09:00,22.746
10/01/2020 07:00,10/01/2020 10:00,24.827
10/01/2020 08:00,10/01/2020 11:00,26.117
